NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,1,396.000000,2,0.029886,0.000174,13917.323388,35.097134,3.614579,0.038264,115.606829,1.420753,217458177.933404,548392.719666
coop1,1,396.000000,4,0.015835,0.000806,26652.159500,41.610957,2.207320,0.119280,126.495915,3.540937,416439992.194836,650171.196312
coop1,1,396.000000,6,0.010909,0.000354,38459.368983,72.030253,1.710843,0.066756,135.609359,6.345961,600927640.363696,1125472.703524
coop1,1,396.000000,8,0.008559,0.000282,49024.716987,148.094683,1.470265,0.067849,143.311232,5.319027,766011202.922361,2313979.420725
coop1,1,396.000000,10,0.007279,0.000319,57846.581266,240.032308,1.318115,0.033492,145.493795,7.277815,903852832.282529,3750504.804781
coop1,1,396.000000,12,0.006458,0.000366,65470.274794,133.847527,1.228538,0.069807,147.349502,9.034270,1022973043.656766,2091367.612401
coop1,1,396.000000,14,0.005981,0.000260,70390.725843,494.526407,1.141529,0.067801,146.618832,11.847764,1099855091.293837,7726975.114947
coop1,1,396.000000,16,0.005663,0.000165,74007.620773,277.562780,1.137057,0.052971,151.401354,12.785822,1156369074.572881,4336918.430163
coop1,1,396.000000,18,0.007271,0.005610,75540.800146,198.808657,1.285079,0.578627,150.015263,13.837589,1180325002.282710,3106385.265916
coop1,1,396.000000,20,0.005385,0.000081,77458.645402,432.377798,1.084367,0.040793,153.596462,10.783594,1210291334.399166,6755903.099555
coop1,1,396.000000,22,0.007224,0.005860,77318.216094,419.735962,1.347379,0.593878,149.556507,18.979334,1208097126.471338,6558374.408236
coop1,1,396.000000,24,0.005448,0.000806,79957.961430,190.421551,1.019220,0.097215,155.661782,15.847177,1249343147.347952,2975336.731728
coop1,1,396.000000,26,0.005283,0.000117,79136.878177,565.199337,1.037431,0.067243,166.257913,16.348781,1236513721.516364,8831239.634195
coop1,1,396.000000,28,0.005214,0.000157,80404.297002,361.385672,1.042808,0.053271,157.553255,8.327391,1256317140.652098,5646651.126902
coop1,1,396.000000,30,0.005257,0.000087,79364.487864,642.808952,1.006558,0.064301,161.021303,12.566442,1240070122.870512,10043889.874111
coop1,1,396.000000,32,0.005231,0.000200,80348.829849,291.264469,1.040500,0.070130,163.904926,10.294487,1255450466.386345,4551007.324435
coop1,1,396.000000,34,0.005181,0.000087,80570.150596,260.319369,1.027810,0.059438,162.476377,15.819832,1258908603.066070,4067490.140759
coop1,1,396.000000,36,0.005144,0.000078,81106.009045,114.494407,1.052912,0.030961,154.777108,7.207234,1267281391.329522,1788975.116850
coop1,1,396.000000,38,0.005226,0.000067,79771.707456,220.135670,1.076755,0.031985,156.125165,8.095947,1246432929.004225,3439619.840777
coop1,1,396.000000,40,0.005233,0.000083,79745.008209,273.375240,1.028431,0.062370,153.159929,7.982148,1246015753.273028,4271488.132739
coop1,1,396.000000,42,0.005256,0.000077,79325.455046,594.324837,1.097384,0.046714,153.137404,8.904369,1239460235.089229,9286325.576659
coop1,1,396.000000,44,0.005370,0.000050,77514.890891,407.877101,1.093772,0.031075,154.490964,7.410798,1211170170.165895,6373079.707996
coop1,1,396.000000,46,0.005297,0.000050,78594.351452,377.397048,1.087524,0.044014,151.821365,9.659794,1228036741.437987,5896828.870076
coop1,1,396.000000,48,0.006014,0.002320,78639.251937,132.698335,1.160944,0.235740,152.731114,10.381746,1228738311.513876,2073411.482384
