NodeId,SocketId,TotalMemoryRequest(MiB),NumberOfThreads,AvgTime(S),SDTime,Bandwidth(MB/s),SDBandwidth,AvgEnergyUsage(J),SDEnergyUsage,AvgPowerUsage(W),SDPowerUsage,AccessFrequency(line/s),SDAccessFrequency
coop1,-,1584.000000,2,0.122663,0.000543,13553.865698,45.833555,53.353288,0.307727,429.956742,1.285614,211779151.535111,716149.294803
coop1,-,1584.000000,4,0.064062,0.000529,25988.322693,100.178903,28.992626,0.501135,442.356547,3.731382,406067542.078906,1565295.356550
coop1,-,1584.000000,6,0.044718,0.000496,37272.545510,57.123504,20.847013,0.313925,455.909168,4.227228,582383523.600361,892554.743761
coop1,-,1584.000000,8,0.035250,0.000331,47256.193269,91.236705,16.857710,0.245831,463.653948,6.369077,738378019.829564,1425573.520358
coop1,-,1584.000000,10,0.029428,0.000251,56591.072023,94.417234,14.370329,0.206362,467.779913,7.505773,884235500.361345,1475269.277609
coop1,-,1584.000000,12,0.026853,0.001376,62871.717575,26.937874,13.183045,0.707314,469.483323,8.831437,982370587.104560,420904.282067
coop1,-,1584.000000,14,0.024495,0.000299,68068.283079,108.294106,12.117382,0.191531,472.823236,8.112877,1063566923.102142,1692095.400919
coop1,-,1584.000000,16,0.023420,0.000247,71155.208632,129.983548,11.680287,0.239486,474.283535,10.373061,1111800134.873268,2030992.932248
coop1,-,1584.000000,18,0.022638,0.000166,73534.061918,134.051893,11.348100,0.159263,478.400144,9.263760,1148969717.460982,2094560.824586
coop1,-,1584.000000,20,0.022384,0.000151,74346.543703,235.692479,11.233376,0.131281,479.226896,11.273161,1161664745.359410,3682694.976957
coop1,-,1584.000000,22,0.022177,0.000161,75063.321478,137.975499,11.172391,0.197697,472.914240,11.363536,1172864398.091559,2155867.178344
coop1,-,1584.000000,24,0.021945,0.000331,76047.650362,108.781274,11.062411,0.241270,477.246806,3.692136,1188244536.909285,1699707.408833
coop1,-,1584.000000,26,0.021304,0.000120,78093.762652,156.366986,10.763433,0.178860,471.962329,12.881993,1220215041.442426,2443234.150953
coop1,-,1584.000000,28,0.021389,0.000090,77743.221977,169.985148,10.843722,0.145436,477.453908,13.808744,1214737843.393588,2656017.942020
coop1,-,1584.000000,30,0.021291,0.000136,78141.446808,308.085952,10.779153,0.139596,482.182271,10.589592,1220960106.369821,4813842.992982
